motif 96677,NOUN,HAS_EXAMPLE
lance 96026,NOUN
ferme 95261,ADJECTIVE
trait 94549,NOUN
revue 94641,NOUN
éclat 94351,NOUN,HAS_EXAMPLE
outil 94111,NOUN
soupe 94282,NOUN,HAS_EXAMPLE
pause 93360,NOUN,HAS_EXAMPLE
crâne 92350,ADJECTIVE
culte 92288,ADJECTIVE
russe 91697,ADJECTIVE
idéal 92118,ADJECTIVE
quart 91269,ADJECTIVE
tiens 91095,ADJECTIVE
élève 90795,NOUN
lueur 90625,NOUN
union 90657,NOUN
drame 90461,NOUN
maire 90069,ADJECTIVE
salut 89846,NOUN
thèse 89244,NOUN,HAS_EXAMPLE
toile 89232,NOUN
cycle 88999,NOUN,HAS_EXAMPLE
stade 88852,NOUN,HAS_EXAMPLE
jaune 88696,ADJECTIVE,HAS_EXAMPLE
croix 88292,NOUN
fuite 87662,NOUN,HAS_EXAMPLE
excès 87816,NOUN,HAS_EXAMPLE
pêche 86362,NOUN,HAS_EXAMPLE
poing 86702,NOUN
coupe 85894,NOUN
tissu 84744,NOUN
pénal 84638,ADJECTIVE
décès 84656,NOUN,HAS_EXAMPLE
fumée 84535,ADJECTIVE,HAS_EXAMPLE
noter 84203,VERB,HAS_EXAMPLE
ferai 84040,VERB
foyer 84310,NOUN
torse 83490,ADJECTIVE
radio 83336,NOUN
décor 82952,NOUN,HAS_EXAMPLE
noble 82608,ADJECTIVE
lycée 82234,NOUN
tapis 81696,NOUN
fleur 81263,NOUN,HAS_EXAMPLE
voile 81177,NOUN,HAS_EXAMPLE
amant 79830,NOUN
fondé 79881,ADJECTIVE
chant 79729,NOUN
serez 79580,VERB
dette 79065,NOUN
fixer 78250,VERB
tante 77790,NOUN,HAS_EXAMPLE
subir 77276,VERB
crier 76604,VERB
crème 76577,ADJECTIVE
merde 76371,NOUN,HAS_EXAMPLE
honte 76092,NOUN
folle 75671,ADJECTIVE
poème 75559,NOUN
biais 74863,ADJECTIVE
achat 74429,NOUN,HAS_EXAMPLE
forts 74277,ADJECTIVE
proie 73894,NOUN
creux 73068,ADJECTIVE,HAS_EXAMPLE
balle 72715,NOUN,HAS_EXAMPLE
tasse 72231,NOUN
total 72306,ADJECTIVE
mœurs 71805,NOUN
saisi 71954,ADJECTIVE
cible 71558,NOUN,HAS_EXAMPLE
bilan 71263,NOUN,HAS_EXAMPLE
quasi 71147,ADVERB
nulle 70368,ADJECTIVE
merci 69941,NOUN
plume 69938,NOUN
jambe 69848,NOUN,HAS_EXAMPLE
métal 69245,NOUN
sueur 68996,NOUN
boule 68478,NOUN,HAS_EXAMPLE
mardi 68300,NOUN
lampe 68963,NOUN
jadis 68103,ADVERB
siens 68279,ADJECTIVE
taire 67267,VERB,HAS_EXAMPLE
verbe 67245,NOUN
corde 67469,NOUN
voler 66831,VERB,HAS_EXAMPLE
leçon 66870,NOUN
impôt 66848,NOUN
trône 66587,NOUN,HAS_EXAMPLE
copie 66181,NOUN
pouce 65693,NOUN
hauts 65599,ADJECTIVE
pitié 65210,NOUN
caché 64429,ADJECTIVE
cache 64385,NOUN
essai 64349,NOUN,HAS_EXAMPLE
bêtes 64186,ADJECTIVE
norme 63078,NOUN,HAS_EXAMPLE
barbe 63242,ADJECTIVE,HAS_EXAMPLE
guise 62503,NOUN,HAS_EXAMPLE
herbe 62438,NOUN
baron 62309,NOUN
enjeu 62254,NOUN
actif 61723,ADJECTIVE,HAS_EXAMPLE
deuil 61562,NOUN,HAS_EXAMPLE
rayon 61477,NOUN
piège 61270,NOUN,HAS_EXAMPLE
céder 60797,VERB,HAS_EXAMPLE
citer 60518,VERB
verts 60229,ADJECTIVE
mythe 59929,NOUN,HAS_EXAMPLE
bleus 59910,ADJECTIVE
seras 59745,VERB
fusil 59519,NOUN
canal 59424,NOUN
verte 59176,ADJECTIVE
coeur 59009,NOUN
usine 58830,NOUN
sacré 58681,ADJECTIVE,HAS_EXAMPLE
barre 57998,NOUN
royal 57960,ADJECTIVE
jeudi 57618,NOUN
océan 57600,NOUN
marge 57482,NOUN
vieil 57163,ADJECTIVE,HAS_EXAMPLE
nuque 56781,NOUN
recul 56943,NOUN,HAS_EXAMPLE
fermé 56731,ADJECTIVE
nuage 56131,NOUN
épais 55817,ADJECTIVE,HAS_EXAMPLE
congé 55679,NOUN
voire 55090,ADVERB,HAS_EXAMPLE
super 55074,ADJECTIVE
jouir 54692,VERB,HAS_EXAMPLE
franc 54369,ADJECTIVE,HAS_EXAMPLE
rêver 54153,VERB
acier 53840,NOUN
allée 53670,NOUN
linge 53556,NOUN
arabe 53528,ADJECTIVE
péché 53239,NOUN,HAS_EXAMPLE
vitre 53020,NOUN,HAS_EXAMPLE
égale 52716,ADJECTIVE
lèvre 52357,NOUN
vides 51920,ADJECTIVE
paire 51781,ADJECTIVE
lâche 51757,ADJECTIVE
prier 51639,VERB,HAS_EXAMPLE
bonté 51553,NOUN
divin 51381,ADJECTIVE,HAS_EXAMPLE
final 51150,ADJECTIVE
dépôt 51007,NOUN,HAS_EXAMPLE
sinon 50855,ADVERB
vrais 50633,ADJECTIVE
censé 50488,ADJECTIVE,HAS_EXAMPLE
index 50476,NOUN
monte 50351,NOUN
prêts 49562,ADJECTIVE
pomme 49520,NOUN,HAS_EXAMPLE
major 49367,NOUN
coude 49265,NOUN
